VENDOR_CODE,VENDOR_NAME
055355,"ENVIRO-CLEAN TRADING & GENERAL SERVICES, INC."
260267,"A. BORSIK RESOURCES INC"
014247,"APRICA PRODUCTS PHILIPPINES INC"
