VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DEPT
154012,"128 DREAM FOUNTAIN CORPORATION","STORE CONSIGNOR","Men's Shoes"
200057,"13 P M ENTERPRISES",OUTRIGHT,Toys
194178,"1770 GARMENTS CORP","STORE CONSIGNOR","Men's Wear,Women's Wear 1"
200152,"21ST CENTURY TRADING",OUTRIGHT,"Men's Shoes,Women's Shoes,Kids' Shoes"
204209,"24 CONCEPTS SPECIALIST INC","STORE CONSIGNOR",Toys
204220,"2L.O.G. INC","STORE CONSIGNOR","Kids' Accessories,Toys"
204172,"3C DISTRIBUTORS INTERNATIONAL INC","STORE CONSIGNOR",Kitchenware
200188,"3M PHILIPPINES INC",OUTRIGHT,"Stationery,Watsons"
060164,"4D AND E ENTERPRISE",OUTRIGHT,Luggage
060150,"4-R EXPORT/IMPORT",OUTRIGHT,"Women's Wear 2"
194272,"7 CASTLES INC","STORE CONSIGNOR",Kultura
050275,"8 COLORS ENTERPRISES INC",OUTRIGHT,"Babies' Accs & Furns,Watsons"
260342,"A B SOBERANO INTERNATIONAL CORP",OUTRIGHT,Kultura
014270,"A&R FASHION HOUSE CORPORATION","STORE CONSIGNOR","Women's Wear 1"
260304,"A.G. CRAFTS EXPORT",OUTRIGHT,Kultura
014311,"A.L. AMIZADE MARKETING, INC.","STORE CONSIGNOR","Women's Shoes"
010533,"A.N.C. (SUMMA) TRDG CORP",OUTRIGHT,Watsons
010839,"AA ALUMINUM SUPPLY  INC",OUTRIGHT,Hardware
260293,"AAA PIG & DRAGON INC",OUTRIGHT,"Kids' Wear - Girls,Kids' Wear - Boys"
260130,"ABBIE TRADING",OUTRIGHT,"Men's Wear,Women's Wear 1,Kids' Wear - Girls,Girls' Teen Wear,Women's Wear 3"
014277,"ABC DECOR CENTER","STORE CONSIGNOR","Our Home"
014264,"ABELARDO LAZO'S CREATION CO","STORE CONSIGNOR","Women's Wear 3"
010088,"ABENES SHELLCRAFT",OUTRIGHT,Kultura
014011,"ABLE MUSIC INTERNATIONAL INCORPORATED","STORE CONSIGNOR","Music N Video"
260406,"ABS-CBN CORPORATION",OUTRIGHT,"Boys' Teen Wear"
