VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DEPT
044128,"DA.U.DE TEA CORPORATION","STORE CONSIGNOR",KULTURA
040194,"DAIKYO CORPORATION",OUTRIGHT,"KITCHENWARE,TABLEWARE"
040308,"DAILY APPLE DISTRIBUTION INC",OUTRIGHT,WATSONS
040350,"DAILY ESSENTIAL DISTRIBUTION CORP",OUTRIGHT,"PET EXPRESS"
040305,"DAILY GREEN ENTERPRISES",OUTRIGHT,"PET EXPRESS"
040269,"DAIMARU INTEGRATED FARM & CASTINGINDUSTRIES CORPORATION",OUTRIGHT,KITCHENWARE
040472,"DALE STARR ENTERPRISES",OUTRIGHT,WATSONS
044143,"DALIRETAIL INC","STORE CONSIGNOR","MEN'S WEAR,TOYS,MEN'S WEAR DS"
040376,"DAMEKA TRADING INC",OUTRIGHT,WATSONS
044120,"DANA ANNIKA WEAR INC","STORE CONSIGNOR","KIDS' WEAR - GIRLS,KIDS' WEAR - GIRLS DS"
040348,"DANICOS METAL LACE DESIGNS",OUTRIGHT,KULTURA
040199,"DANLEX RESEARCH LABORATORIES INC",OUTRIGHT,WATSONS
040359,"DAPHRON TRADING CORP.",OUTRIGHT,"KIDS' WEAR - GIRLS,BABIES' WEAR,KIDS' WEAR - BOYS,SMART BUY,GUAM ISLAND"
040579,"DARLENE'S HANDCRAFTED ACCESSORIES",OUTRIGHT,KULTURA
040161,"DAVAO CANDY ENTERPRISES",OUTRIGHT,SNACKS
040223,"DAVENBEN ENTERPRISES CORP",OUTRIGHT,WATSONS
040420,"DCJ METALWOOD CORP.",OUTRIGHT,"FURNITURE & FIXTURES"
040398,"DCJ STAINLESS STEEL AND METALFABRICATION",OUTRIGHT,"FURNITURE & FIXTURES"
040385,"DE BONS PRODUITS INC",OUTRIGHT,"BABIES ACCS & FURN"
044064,"DECO DU MONDE","STORE CONSIGNOR",KULTURA
044136,"DECOREA INC","STORE CONSIGNOR",HARDWARE
040358,"DECORICH HANDICRAFTS",OUTRIGHT,KULTURA
040417,"DEGA INTERNATIONAL PHARMA CORP",OUTRIGHT,WATSONS
040703,"DELA CRUZ HOUSE OF PINA",OUTRIGHT,"KULTURA,KITCHENWARE,DECOR AND ACCESSORIES"
040353,"DELICIOSO INTERNATIONAL FOODS INC",OUTRIGHT,SNACKS
040647,"DELICIOUS CHICHARON FACTORY",OUTRIGHT,SNACKS
044127,"DELIZIO FINE FOODS INC","STORE CONSIGNOR","APPLIANCE,KITCHENWARE"
044115,"DELOS REYES PLAZA CHILDRENS WEARCOLLECTION INC","STORE CONSIGNOR","KIDS' WEAR - GIRLS,KIDS' WEAR - GIRLS DS"
044040,"DELTA WOOD PROD CORP","STORE CONSIGNOR",HARDWARE
044154,"DELTAPLUS PHILIPPINES, INC.","STORE CONSIGNOR",HARDWARE
040373,"DEMA HARDWARE & CONSTRUCTION SUPPLY",OUTRIGHT,HARDWARE
