VENDOR_CODE,VENDOR_NAME
014334,"ASIA STAR RETAIL, INC."
160734,"PANADERIA DE ARCA"
014221,"ADDITIONAL PELF JOYS TRADING CORP."
020477,"BONIFAZ INC."
060424,"FATED INC."
070710,"GOLD KNIT GARMENT MANUFACTURING"
114107,"KIDBASIX MARKETING INC."
150594,"2NDGEN MANUFACTURING CORPORATION"
