VENDOR_CODE,VENDOR_NAME
104099,"JFRL ENTERPRISES"
240640,"MAROSA FASHION ACCESSORIES"
150268,"ORIENTWAY MARKETING"
194216,"STARAPPLE COMPUTER CORPORATION"
204180,"TRI-JS MARKETING VENTURES INC."
214006,"UNITED MIX CREATIONS CORPORATION"
264014,"ZAPATO INCORPORATED"
124192,"LA PENICA CORPORATION"
